id	name	emoji	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	negative	positive
1	grinning face	😀	0.158667363282196	0.555370390643297	0.114185848438405	0.192243573998297	0.561992828340736	0.186117494849983	0.287941551212101	0.596867675885195	0.356135427427402	0.976363185298077
2	grinning face with big eyes	😃	0.172995506945614	0.581902434471562	0.136241150585365	0.21999112737956	0.603854991891576	0.197681022732474	0.304386426493696	0.596116508112245	0.38554415700038	0.991735067121107
3	grinning face with smiling eyes	😄	0.175037767275332	0.517999423838917	0.139511324962917	0.189609090486209	0.510112518521038	0.180671271302961	0.246537794946176	0.528314041420472	0.386087013570618	0.88542766619113
4	beaming face with smiling eyes	😁	0.174786794655886	0.543445599872061	0.122323775658303	0.201830144105549	0.539316566260062	0.182929269358458	0.280578106146533	0.551691811940642	0.371229585317853	0.914501400801529
5	grinning squinting face	😆	0.230904210823035	0.461457307250553	0.162243259431718	0.235540337440345	0.439997894471977	0.212518740233192	0.248078267349242	0.486059002028135	0.460755819267093	0.799627217902197
6	grinning face with sweat	😅	0.224871123447432	0.461468086458269	0.170935431598432	0.243151072766748	0.395259541569734	0.22989622083269	0.230984296234313	0.464125863878096	0.466482518489697	0.764919639876861
7	rolling on the floor laughing	🤣	0.259525151364998	0.344330989143846	0.20563155976283	0.240233216778446	0.322127496664467	0.22797908952803	0.179494157480279	0.387366415598009	0.509679769568368	0.635705759986517
8	face with tears of joy	😂	0.252459548170189	0.327742503333631	0.200670866202829	0.231262474815415	0.299193310027522	0.220489425220086	0.167144279508487	0.37781375778731	0.496456610588748	0.609335518026752
9	slightly smiling face	🙂	0.195260851264701	0.522894194534048	0.1389863119393	0.216414210027589	0.499017051757196	0.220721374831153	0.258416470259193	0.559374984147091	0.417132579723323	0.907095672188688
10	upside-down face	🙃	0.265742244305855	0.432407971573068	0.204276824264276	0.266274445990396	0.34643429641114	0.28599152200352	0.197486974366994	0.441011084905457	0.572831344270894	0.722410957039208
11	winking face	😉	0.193818482710238	0.559042997290325	0.128873908543102	0.218769673187745	0.531386590019284	0.196437816915263	0.265885938891547	0.584500725484246	0.422605368093639	0.977315571751589
12	smiling face with smiling eyes	😊	0.135068192629783	0.662413241806252	0.104496405999548	0.166619815471053	0.728064063138217	0.173470037646842	0.337407174682394	0.683651774725541	0.305720624828213	1.13018755205256
13	smiling face with halo	😇	0.185314315870542	0.702838244883646	0.164145728128351	0.252506875899878	0.76517778752462	0.187226007680802	0.291811849213058	0.736083884011908	0.387837240597467	1.16318021754221
14	smiling face with hearts	🥰	0.13774315401531	0.575139324353776	0.100277198680234	0.144561237652501	0.751309963357264	0.143334033930359	0.268842134931702	0.568213351984467	0.293645111576447	1.07715613533803
15	smiling face with heart-eyes	😍	0.126128076882609	0.494106204026647	0.107107961739207	0.141706299627245	0.656254907300836	0.132339728416262	0.241324480930916	0.471968169484164	0.265719351662292	0.964214776363248
16	star-struck	🤩	0.145455983016528	0.606002505262608	0.0993885592364445	0.149560721014532	0.595415494914968	0.146886074519728	0.268175858870131	0.531682045662437	0.293617632478533	0.967157193180666
17	face blowing a kiss	😘	0.144884852284947	0.642861854671938	0.0956324371020619	0.150257883742671	0.887367645223357	0.156631150579788	0.335178224273094	0.638051961879619	0.293066813070877	1.21019648078615
18	kissing face	😗	0.185029871387255	0.395335477995098	0.134459252593137	0.165977328534314	0.39183134177451	0.20890778177451	0.175570618936274	0.397575827220588	0.379787071093137	0.681066176612745
19	smiling face	☺️	0.153339375579186	0.617949167209389	0.113527519344262	0.16476053518294	0.681270012192136	0.17522467208796	0.298590287998418	0.614335562852903	0.334125013729974	1.0499750240864
20	kissing face with closed eyes	😚	0.166865341911974	0.443391988840175	0.100659653817685	0.172219210840972	0.528134658088026	0.157971673404316	0.22747346694756	0.427211410351307	0.285376359391903	0.769743267095599
21	kissing face with smiling eyes	😙	0.164166577848117	0.455732637826574	0.0777096418052685	0.170921608203195	0.541669328303145	0.163053692419354	0.235737605985333	0.40920579162023	0.354652755644807	0.85373185710334
22	face savoring food	😋	0.156516403882805	0.458898831969753	0.133425166997759	0.168950429363794	0.526577116580247	0.149730372944801	0.231039757132269	0.448384827440451	0.348662283950453	0.84477140760457
23	face with tongue	😛	0.220974575079112	0.383653716176948	0.14976173250036	0.189472462796615	0.395221139082326	0.182757055679671	0.179888887024156	0.387469371791199	0.442250289598824	0.676750427453353
24	winking face with tongue	😜	0.200995478969224	0.464685646050547	0.139697518488553	0.21847096867883	0.439766752731483	0.206872316521073	0.212947954043481	0.457199776338292	0.437982983151991	0.785553092468532
25	zany face	🤪	0.243815234885131	0.426077613940177	0.173817382268622	0.246695267930217	0.387680102979326	0.223609418978251	0.205316270804104	0.404131224321851	0.47893744042031	0.684616098486023
